"","id","name","description","menus_appeared","times_appeared","first_appeared","last_appeared","lowest_price","highest_price"
"388",453,"Broiled Blue Fish",NA,44,49,1865,1957,0.2,3.75
"391",459,"Puff over",NA,1,1,1900,1900,0.1,0.1
"393",461,"Kippered Herrings",NA,124,124,1899,1955,0,0.5
"396",466,"Eggs, boiled",NA,167,171,1880,1970,0.1,20
"398",468,"Consomme Macaroni",NA,22,22,1892,1907,0.2,0.25
"399",470,"Hard Boiled Egg",NA,11,11,1900,1948,0.05,0.75
"400",471,"Cream Cheese",NA,972,1057,1887,1980,0,25
"405",478,"Shirred Eggs",NA,342,347,1858,1969,0,19
"413",491,"Yarmouth Bloaters",NA,85,85,1892,1958,0.2,0.75
"422",502,"Jambon Grille",NA,9,9,1900,1937,0,0.5
"430",511,"English Muffins",NA,130,136,1,1987,0,0.3
"432",513,"Rice Cakes",NA,218,224,1,1949,0.05,20
"433",514,"Honey in the Comb",NA,50,50,1900,1917,0.2,0.4
"435",518,"Quail on Toast",NA,43,43,1889,1958,0.4,0.6
"436",519,"Broiled Green Bluefish, Drawn Butter",NA,4,4,1901,1901,0.2,0.2
"439",525,"French Fried Potatoes with Dinner Orders",NA,1,1,1901,1901,0.05,0.05
"445",532,"Scrambled Eggs and Bacon",NA,8,8,1900,1945,0.4,25
"446",533,"liver and bacon",NA,140,147,1889,1962,0.1,15
"448",535,"Fried Chicken a la Maryland",NA,28,28,1898,1958,0.2,5.6
"449",536,"Fried sole",NA,65,65,1899,1961,0,0.4
"450",537,"Salt mackerel",NA,327,334,1859,1945,0,30
"452",539,"Cold Ham with Potato Salad",NA,36,36,1900,1955,0,1.75
"457",544,"Oyster Stew",NA,431,455,1882,1982,0,50
"460",549,"Baked Apple Dumpling, Hard Sauce",NA,15,15,1900,1953,0.1,0.3
"461",550,"Potato a la Maitre d'Hotel",NA,4,4,1892,1901,0.15,0.15
"463",552,"Boiled Cabbage",NA,21,22,1900,1962,0.05,0.35
"464",553,"Strawberries and Cream",NA,340,359,1880,1969,0,50
"465",554,"Chicken Liver with Mushrooms",NA,12,12,1900,1914,0.3,0.6
"467",556,"Roast in shell",NA,4,4,1900,1918,0.5,40
"468",557,"Bread Pudding, Hard Sauce",NA,5,5,1901,1914,0.05,0.1
"473",563,"Chocolate Pudding with Cream",NA,16,17,1901,1985,0.05,0.4
"476",566,"Corn Starch Pudding with Cream",NA,4,4,1901,1901,0,0
"478",568,"Cold Ham",NA,592,598,1854,1972,0,45
"479",569,"Cup Custard",NA,885,953,1854,2928,0,25
"480",570,"Codfish Cakes",NA,198,209,1859,1949,0,30
"482",572,"Lettuce",NA,924,977,1859,1988,0,35
"484",574,"Raisin and Pound Cake",NA,3,3,1901,1901,0,0
"485",575,"Orange",NA,862,972,1,1975,0,25
"487",577,"Calf's Liver Saute",NA,8,8,1900,1952,0.4,2.25
"488",578,"Brazil Nuts",NA,28,28,1852,1948,0.15,0.3
"490",580,"Cheshire Cheese",NA,91,91,1865,1974,0.15,0.35
"491",581,"Stilton Cheese",NA,287,324,1881,1987,0,10
"502",595,"Hot Rolls",NA,382,406,1853,1983,0.05,0.25
"505",599,"Boiled Mackerel",NA,9,9,1859,1906,0.15,0.15
"516",615,"Boiled Fried potatoes",NA,5,5,1900,1906,0.05,0.1
"521",623,"Citronen-Auflauf",NA,4,4,1899,1905,0,0
"526",632,"Flannel Cakes",NA,28,28,1889,1937,0.1,0.3
"532",640,"Mutton Stew",NA,24,24,1899,1906,0.1,0.15
"535",644,"Wheat Cakes",NA,200,207,1,1959,0,15
"538",647,"Fried Bananas",NA,57,57,1886,1975,0.25,0.4
"541",650,"Boiled potato",NA,74,74,1893,1965,0.05,0.7
"545",655,"Broiled or Fried Spring Chicken",NA,4,4,1900,1921,0.65,250
"548",660,"Dipped Toast",NA,201,206,1859,1958,0,15
"552",667,"Mutton Chops",NA,627,638,1851,1958,0,60
"560",678,"Coffee Cake",NA,129,135,1893,1987,0.05,5
"567",689,"Calves Liver and Onions",NA,8,8,1900,1917,0.15,0.4
"569",691,"Lamb Chops",NA,614,624,1,1988,0,75
"571",695,"Onions",NA,158,160,1852,1987,0,0.5
"573",697,"Maple Syrup",NA,146,146,1896,1962,0,0.1
"576",700,"Honey",NA,304,307,1881,1973,0,25
"584",714,"Blue Points on the Shell",NA,15,15,1899,1900,0,0
"585",715,"Broiled Lobster",NA,107,115,1887,1961,0,60
"588",721,"Oyster Pan Roast on Toast",NA,5,5,1900,1901,0,0
"591",724,"Roast Leg of English Mutton",NA,4,4,1900,1900,0.35,0.35
"592",725,"Lynnhavens",NA,354,423,1896,2928,0,50
"593",726,"Hamburger Steak and Onions",NA,6,6,1900,1918,0.15,0.2
"596",730,"Little Neck Clams on the Shell",NA,11,11,1895,1900,0.25,0.25
"597",731,"Frankfurter Sausages and Sauerkraut",NA,6,6,1900,1900,0,0
"598",732,"Cape Cods",NA,455,499,1896,1968,0.2,45
"600",734,"Hamburg Steak with Fried Onions",NA,8,8,1900,1921,0.15,0.75
"601",735,"Mashed Turnips",NA,369,381,1856,1955,0,25
"603",737,"Potatoes",NA,302,338,1856,2928,0,15
"604",738,"Potatoes Saute",NA,101,105,1881,1973,0.1,0.4
"605",739,"Cherrystones",NA,519,524,1891,2928,0,45
"607",741,"Eclairs",NA,139,156,1898,1987,0,25
"608",743,"Pies",NA,132,139,1887,1987,0.05,1.25
"610",745,"Baked Shad Wine Sauce",NA,3,3,1900,1900,0.35,0.35
"613",750,"Broiled Lamb Kidneys and Bacon",NA,9,9,1900,1919,0.25,0.5
"614",751,"Toast",NA,432,496,1858,1989,0,1.05
"616",754,"Jelly omelette",NA,95,102,1900,1985,0,25
"617",756,"Broiled Lamb Chops and Bacon",NA,2,2,1900,1900,0.45,0.45
"618",759,"Sauterne 1ere",NA,1,1,1900,1900,1.5,1.5
"619",760,"St. Julien Superieur",NA,7,8,1886,1937,0.5,3.5
"620",761,"Pontet Canet",NA,364,399,1859,1955,0,200
"621",762,"Haut Sauternes",NA,263,290,1865,1973,0,150
"622",763,"Sherry",NA,398,422,1866,1990,0,3.5
"623",764,"Laubenheimer",NA,257,278,1881,1955,0,100
"624",765,"Smoked Tongue",NA,122,122,1859,1963,0.2,2.65
"625",766,"Niersteiner",NA,340,364,1864,1983,0,100
"626",767,"Hochheimer",NA,238,252,1852,1918,0,150
"627",769,"Mumm's Ex. Dry",NA,2,2,1891,1900,4,4
"628",770,"Pommery Sec",NA,264,268,1881,1918,0,400
"630",772,"Moet & Chandon, White Seal",NA,267,271,1884,1949,1.4,350
"631",773,"Moet & Chandon, Brut",NA,10,10,1892,1914,1.75,5
"632",774,"Irroy Brut",NA,25,25,1892,1906,1.75,4
"633",776,"Apollinaris",NA,1367,1475,1,1988,0,40.25
"634",777,"Johannis",NA,384,479,1,1918,0,40.25
"635",778,"Blue Point Oysters",NA,473,511,1887,1987,0,40
"645",789,"Red Head Duck",NA,90,91,1882,1907,0.6,250
"646",790,"Celery Salad",NA,413,426,1882,1973,0,60
"647",791,"Fancy Ice Cream",NA,161,161,1887,1953,0.25,0.5
"649",794,"Cakes",NA,376,383,1887,1988,0,2.75
"650",795,"Cheese",NA,1557,1594,1,1990,0,40
"655",800,"BAKED SWEET POTATOES",NA,312,313,1852,1965,0.05,30
"659",804,"Broiled Chicken on Toast",NA,37,37,1900,1915,0.5,1
"665",810,"Hamburg Steak with Onions",NA,20,20,1900,1941,0.35,0.75
"670",817,"Eels",NA,19,19,1880,1914,0.15,0.5
"673",821,"Lemon Soda",NA,188,191,1890,1953,0.05,10
"675",823,"Clysmic",NA,166,168,1892,1928,0.15,40
"679",827,"Buffalo Lithia Water",NA,14,14,1900,1907,0.05,0.6
"681",829,"Congress Water",NA,332,338,1858,1915,0,25
"682",830,"Roast Duck",NA,85,85,1892,1993,0,15.25
"684",832,"Hunyadi",NA,29,30,1891,1933,0.1,40
"685",834,"Cabbage",NA,127,134,1852,1980,0,20
"687",836,"Russet Cider",NA,35,36,1881,1915,0.05,0.75
"689",838,"Cucumber",NA,326,360,1887,2928,0,50
"690",839,"Londonderry Lithia",NA,92,92,1895,1913,0.15,40
"692",841,"Vienna Pudding",NA,5,5,1900,1901,0.2,0.2
"694",844,"Liver",NA,21,21,1892,1971,0,0.35
"701",854,"Steak",NA,32,34,1884,1961,0,30
"703",856,"Wiener Schnitzel",NA,88,95,1899,1992,0,4
"705",858,"Calves' Liver and Bacon",NA,15,15,1900,1912,0.15,0.7
"709",862,"Stewed Beef",NA,9,9,1889,1901,0.1,0.15
"712",866,"Corned Beef and Cabbage",NA,257,261,1856,1961,0.1,85
"713",867,"Oyster Patties",NA,174,179,1865,1938,0.1,50
"718",872,"Cauliflower",NA,886,942,1865,1987,0,70
"719",873,"String Beans",NA,1488,1570,1858,2928,0,60
"721",875,"Boiled and Mashed Potatoes",NA,61,62,1891,1912,0.05,0.15
"723",878,"Blackberry Pie",NA,118,121,1854,1958,0.05,5
"725",882,"Crackers and Cheese",NA,104,107,1881,1946,0,0.15
"726",884,"Roast Phil'a Chicken",NA,2,2,1900,1900,0,0
"731",889,"Hamburger Steaks",NA,5,5,1901,1905,0.2,0.2
"733",891,"Veal Cutlets, Tomato Sauce",NA,57,57,1858,1910,0.25,35
"734",892,"Stewed rhubarb",NA,246,264,1889,1973,0,35
"736",894,"Fried Potatoes",NA,564,578,1856,1987,0,15
"738",896,"Stewed French prunes",NA,27,27,1892,1943,0.1,5
"739",897,"Florida oranges",NA,16,16,1884,1907,0.15,0.3
"741",899,"Sliced bananas with cream",NA,117,121,1900,1961,0,10
"742",900,"Hot corn muffins",NA,10,10,1900,1946,0,0
"746",904,"Buttered toast",NA,511,525,1856,1969,0,15
"747",905,"Shrewsburys",NA,15,15,1895,1912,0.25,0.7
"749",907,"Milk toast",NA,675,690,1856,1965,0,30
"751",909,"Cream toast",NA,486,495,1865,1961,0,30
"752",910,"Boston cream toast",NA,11,11,1900,1945,0,0
"753",911,"Cotuits",NA,300,345,1900,2928,0,45
"755",913,"Codfish Balls",NA,44,44,1856,1910,0.15,0.6
"757",915,"Tomatoes",NA,456,462,1858,1987,0,15
"761",919,"Roast Turkey",NA,247,251,1851,1963,0,3.55
"762",920,"Baked Potatoes",NA,1292,1325,1859,2012,0,20
"767",926,"Beefsteak",NA,230,306,1,1958,0,15
"770",929,"Corned beef hash browned",NA,37,37,1898,1921,0.15,1
"771",930,"Sardellen",NA,189,219,1896,1961,0,15
"772",931,"Anchovis",NA,172,173,1899,1915,0,0.2
"786",947,"Sardelles",NA,80,80,1897,1939,0.3,0.65
"794",955,"Smoked beef",NA,244,247,1888,1965,0.2,0.5
"800",965,"Plum Tart",NA,13,13,1900,1985,0.1,6
"802",967,"Oysters a la Poulette",NA,112,113,1881,1957,0.3,50
"807",972,"Old Pepper Whiskey",NA,8,8,1900,1901,0.15,2
"808",973,"Sausages",NA,60,61,1853,1967,0,3.25
"811",977,"Rock and Rye",NA,33,33,1900,1965,0.1,2
"813",979,"Old Crow Whiskey",NA,23,23,1884,1918,0.1,2.5
"815",981,"Mount Vernon Whiskey",NA,19,19,1900,1950,0.1,2.5
